Año;Mes;Centro;Visitantes;fecha
2021;Agosto;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;21054;2021-08
2021;Agosto;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);3993;2021-08
2021;Agosto;PALACIO DE QUINTANAR;1283;2021-08
2021;Septiembre;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;5332;2021-09
2021;Septiembre;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;6997;2021-09
2021;Septiembre;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);1596;2021-09
2021;Septiembre;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);3188;2021-09
2021;Septiembre;PALACIO DE QUINTANAR;1515;2021-09
2021;Septiembre;CENTRO CULTURAL MIGUEL DELIBES (programación propia);2749;2021-09
2021;Septiembre;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);32098;2021-09
2021;Septiembre;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);4354;2021-09
2021;Octubre;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;9290;2021-10
2021;Octubre;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);1873;2021-10
2021;Octubre;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);2817;2021-10
2021;Octubre;PALACIO DE QUINTANAR;1587;2021-10
2021;Octubre;CENTRO CULTURAL MIGUEL DELIBES (programación propia);2161;2021-10
2021;Octubre;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);35716;2021-10
2021;Octubre;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;9837;2021-10
2021;Octubre;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);3106;2021-10
2021;Noviembre;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);18413;2021-11
2021;Noviembre;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;4328;2021-11
2021;Noviembre;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);3034;2021-11
2021;Noviembre;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);1383;2021-11
2021;Noviembre;CENTRO CULTURAL MIGUEL DELIBES (programación propia);6677;2021-11
2021;Noviembre;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;4158;2021-11
2021;Noviembre;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);2785;2021-11
2021;Noviembre;PALACIO DE QUINTANAR;1370;2021-11
2021;Diciembre;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);24127;2021-12
2021;Diciembre;PALACIO DE QUINTANAR;1812;2021-12
2021;Diciembre;CENTRO CULTURAL MIGUEL DELIBES (programación propia);6424;2021-12
2021;Diciembre;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;4164;2021-12
2021;Diciembre;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;4934;2021-12
2021;Diciembre;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);3031;2021-12
2021;Diciembre;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);3531;2021-12
2021;Diciembre;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);4050;2021-12
